sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
189,189,04,212.69,340.83,111.74,2.83
102,139,04,1530.99,627.89,1408.77,1.51
35,8,06,3760.59,1500.15,3507.64,1.45
65,133,06,1913.84,882.77,1757.13,1.49
79,18,05,3716.43,1070.29,3573.83,1.32
61,173,06,4352.31,1543.09,4083.18,1.45
78,28,05,3713.71,965.33,3569.55,1.35
25,175,04,3841.79,1221.28,3624.23,1.43
29,135,04,1777.83,599.5,1694.72,1.35
27,155,04,3502.78,1022.74,3369.39,1.32
28,145,04,1359.3,377.87,1314.82,1.29
26,165,04,3926.01,1188.86,3744.29,1.37
24,185,04,3547.89,894.04,3443.48,1.27
23,195,04,4431.06,1076.97,4308.71,1.27
77,195,05,1235.18,647.46,1105.33,1.59
79,175,05,2605.61,955.8,2441.65,1.44
78,185,05,4240.27,1171.79,4067.71,1.35
27,16,04,1380.17,531.32,1290.71,1.44
24,46,04,218.63,212.26,139.83,2.96
22,66,04,2051.96,623.94,1953.42,1.38
26,26,04,348.37,311.9,257.97,2.19
121,17,06,3347.48,873.95,3225.98,1.32
120,27,06,1829.68,1091.23,1614.35,1.61
126,23,04,337.53,311.86,233.31,2.71
124,43,04,1715.0,818.56,1581.43,1.48
121,73,04,2929.32,784.72,2817.79,1.33
125,33,04,2259.6,730.61,2149.19,1.37
123,53,04,2599.13,663.42,2517.24,1.29
123,93,04,2020.24,652.32,1918.65,1.38
128,43,04,1541.95,612.99,1442.26,1.45
125,16,05,2216.52,863.48,2066.42,1.45
123,36,05,1760.65,451.85,1708.45,1.27
124,26,05,1804.86,587.47,1716.74,1.37
120,66,05,2060.89,699.87,1954.47,1.38
125,73,04,2624.3,780.31,2516.04,1.34
122,46,05,2138.22,606.13,2052.39,1.34
129,33,04,2584.19,592.49,2512.57,1.28
124,83,04,1870.56,518.65,1796.15,1.34
19,136,04,2248.37,755.37,2153.96,1.33
13,196,04,1144.42,397.02,1082.13,1.41
11,109,06,1871.76,789.67,1738.51,1.47
15,176,04,3318.17,1185.47,3105.72,1.45
10,119,06,2933.28,1583.81,2586.46,1.63
14,186,04,900.25,299.26,861.04,1.33
16,166,04,2901.24,942.74,2758.17,1.37
18,146,04,1962.81,490.42,1906.82,1.27
126,35,05,1306.58,583.15,1238.19,1.36
124,55,05,1838.37,704.95,1720.22,1.44
121,85,05,2391.79,753.87,2277.29,1.37
128,15,05,1877.55,741.82,1764.56,1.41
17,156,04,3990.62,1103.4,3835.33,1.34
125,45,05,1831.04,697.72,1703.58,1.48
120,95,05,2458.67,980.41,2289.09,1.46
68,113,05,2597.02,854.03,2466.35,1.38
66,133,05,1664.07,557.88,1573.9,1.4
122,75,05,3052.63,940.98,2908.52,1.37
79,186,05,1996.41,638.21,1912.36,1.33
58,80,05,1498.92,513.45,1421.91,1.38
57,90,05,2353.16,620.94,2274.08,1.3
55,8,04,1641.09,622.41,1550.28,1.38
59,70,05,1370.7,502.46,1294.27,1.39
91,85,05,419.29,406.41,257.47,3.17
97,25,05,1778.73,553.73,1694.06,1.38
69,103,05,2899.71,844.23,2778.11,1.35
98,15,05,2132.23,767.49,2012.3,1.4
90,95,05,277.4,207.73,207.54,2.41
75,132,06,2241.89,1218.29,1947.04,1.71
67,123,05,2737.69,909.13,2581.32,1.42
95,45,05,1843.98,683.34,1724.85,1.45
52,189,05,3364.4,1030.71,3202.24,1.38
57,139,05,2387.56,752.94,2274.82,1.37
94,55,05,1760.27,852.34,1574.86,1.61
55,159,05,2869.14,1108.3,2651.57,1.5
71,172,06,3702.16,1405.09,3458.92,1.45
54,169,05,3498.16,1141.69,3353.62,1.32
78,196,05,1089.86,538.41,992.16,1.52
60,193,05,3303.7,965.9,3155.92,1.37
163,171,05,1910.55,662.25,1806.54,1.4
162,181,05,934.24,389.91,868.43,1.46
97,112,04,612.55,390.7,535.4,1.66
98,102,04,225.73,197.35,159.81,2.49
92,75,05,1192.09,498.82,1098.04,1.53
95,132,04,1890.24,825.46,1717.18,1.56
166,141,05,3380.1,1185.75,3175.83,1.44
91,172,04,1068.25,580.53,936.62,1.67
161,191,05,1736.75,627.1,1621.77,1.47
90,182,04,2147.72,902.33,1992.54,1.46
59,166,05,2982.73,1022.0,2826.22,1.39
58,176,05,2864.37,1124.77,2641.45,1.51
164,161,05,808.66,441.92,720.15,1.6
56,196,05,1172.18,541.42,1092.44,1.44
94,142,04,1460.17,579.93,1359.26,1.46
62,173,05,3330.89,796.15,3229.91,1.29
57,186,05,1246.17,449.35,1180.81,1.38
37,185,06,3086.93,1397.47,2839.5,1.48
165,151,05,3299.08,1366.55,3038.89,1.5
96,122,04,1800.08,838.67,1622.69,1.6
58,129,05,1757.45,619.07,1652.76,1.42
38,175,06,3385.53,1215.15,3188.76,1.41
167,131,05,3760.38,1496.16,3489.1,1.47
189,40,06,3442.62,1215.96,3229.25,1.44
92,162,04,1812.42,581.33,1717.58,1.41
93,65,05,1887.57,652.42,1777.57,1.42
78,102,06,2672.01,1259.28,2392.47,1.61
56,149,05,3681.64,970.85,3565.24,1.29
134,106,05,1414.19,495.1,1330.34,1.43
130,146,05,1065.85,378.64,1012.85,1.36
132,126,05,560.11,306.35,512.71,1.49
96,35,05,2665.58,822.91,2552.96,1.34
184,90,06,3799.53,1223.12,3603.97,1.39
53,179,05,4531.87,1518.9,4276.45,1.41
88,109,06,1339.58,751.48,1193.55,1.6
85,139,06,1573.9,694.79,1435.99,1.55
193,7,04,3166.1,1009.41,3012.51,1.37
178,97,04,3271.89,1038.62,3096.21,1.41
186,70,06,2110.85,1042.35,1915.99,1.55
179,87,04,3147.71,1108.55,2939.72,1.47
80,189,06,2768.07,1187.95,2512.72,1.57
131,136,05,455.21,236.45,419.0,1.48
64,153,05,3217.82,783.24,3117.81,1.29
81,179,06,3416.82,1446.41,3118.81,1.55
188,50,06,2213.18,1038.07,2051.81,1.45
93,152,04,2466.95,739.84,2361.16,1.35
133,116,05,992.56,441.17,931.42,1.4
82,169,06,3386.12,1384.26,3096.13,1.55
76,122,06,3476.13,1397.97,3195.18,1.52
84,149,06,2293.8,1004.93,2100.54,1.53
185,80,06,4549.98,1636.29,4245.65,1.47
77,112,06,3440.94,1735.86,3074.05,1.6
152,116,04,1986.06,1046.54,1817.72,1.5
153,106,04,2419.11,692.79,2333.97,1.3
150,136,04,404.24,221.43,363.36,1.57
151,126,04,1415.07,691.78,1285.0,1.55
166,5,04,2148.34,750.22,2031.69,1.39
66,59,04,622.0,355.54,550.66,1.61
67,49,04,1523.7,572.13,1433.44,1.41
83,159,06,3289.15,1173.95,3080.24,1.45
64,79,04,315.58,280.19,237.89,2.12
27,174,05,3414.57,919.38,3300.07,1.3
26,184,05,3917.96,1054.24,3778.48,1.31
25,194,05,3993.1,1270.25,3788.03,1.4
69,29,04,2827.86,834.15,2722.57,1.31
28,164,05,2588.22,699.07,2500.3,1.3
87,119,06,2194.49,1240.64,1899.66,1.71
188,17,05,2750.56,866.79,2650.4,1.3
11,108,05,2003.03,696.62,1905.47,1.36
10,118,05,3167.69,1153.07,2964.6,1.45
181,87,05,3359.6,1134.45,3205.02,1.34
185,47,05,3821.92,1153.83,3657.94,1.34
62,99,04,1458.79,484.85,1383.54,1.39
187,27,05,3381.0,777.34,3295.92,1.25
86,129,06,1935.79,910.52,1748.77,1.56
29,154,05,2868.48,793.71,2771.25,1.3
63,89,04,1959.72,640.31,1862.2,1.38
182,77,05,3350.06,1209.6,3159.31,1.41
180,97,05,2311.91,640.23,2231.26,1.31
65,69,04,1149.28,440.29,1082.79,1.4
71,50,05,1791.68,576.21,1710.0,1.35
75,10,05,421.72,289.29,333.09,2.18
12,108,04,2276.36,724.03,2169.74,1.36
10,128,04,2772.31,1196.38,2524.87,1.55
11,118,04,1888.83,570.44,1820.22,1.3
70,60,05,1152.69,472.03,1076.01,1.44
68,39,04,2076.92,658.27,1981.21,1.36
73,30,05,2427.67,771.62,2266.05,1.53
186,37,05,3212.96,1323.26,3003.18,1.43
140,82,05,1148.57,595.37,1018.03,1.64
143,52,05,2767.42,825.23,2651.43,1.34
189,97,04,2043.71,552.69,1969.31,1.32
144,42,05,2030.86,632.69,1945.04,1.33
80,112,06,2844.9,1446.82,2548.67,1.58
146,22,05,2972.17,931.53,2843.27,1.34
49,52,04,1072.86,479.86,979.64,1.53
45,92,04,1795.24,644.93,1679.09,1.46
48,62,04,840.78,425.03,760.2,1.55
46,82,04,1782.58,590.67,1687.92,1.4
47,51,05,595.15,346.32,525.0,1.63
48,41,05,894.96,375.88,833.31,1.44
44,81,05,3311.46,901.08,3183.75,1.33
193,58,04,2708.84,1068.31,2492.04,1.52
190,88,04,2016.0,838.2,1841.89,1.55
45,71,05,1355.3,515.6,1274.11,1.41
194,48,04,2318.72,984.75,2102.26,1.58
178,3,05,4558.42,1278.85,4368.46,1.35
46,61,05,1625.75,521.58,1556.5,1.33
73,152,06,3755.33,1467.93,3461.26,1.53
196,28,04,2477.11,721.53,2380.38,1.32
49,31,05,1780.33,656.78,1676.39,1.41
6,73,06,1515.64,743.9,1397.23,1.47
4,93,06,3147.12,1030.95,2981.18,1.4
192,68,04,4396.59,1144.97,4251.83,1.3
81,102,06,2945.57,1305.94,2649.56,1.61
43,91,05,3220.76,967.64,3073.68,1.37
10,161,05,2764.08,1030.8,2584.18,1.45
13,131,05,2289.07,968.35,2099.38,1.52
191,78,04,3900.39,1088.25,3762.29,1.31
12,141,05,3467.94,929.41,3343.86,1.31
74,76,06,431.67,422.93,283.58,2.85
198,167,06,5566.19,1700.67,5305.82,1.37
11,151,05,3691.39,974.2,3560.91,1.32
131,182,04,2748.21,899.34,2600.16,1.41
139,102,04,1655.73,639.78,1540.77,1.47
193,183,05,1234.53,522.08,1146.04,1.46
136,132,04,374.94,209.44,324.46,1.81
76,56,06,1311.08,657.16,1211.36,1.45
194,173,05,1205.37,461.71,1126.92,1.44
137,122,04,1460.63,825.66,1315.96,1.54
14,121,05,2866.29,920.17,2723.7,1.38
192,193,05,1297.41,449.38,1229.64,1.4
130,192,04,2048.51,667.35,1944.85,1.38
5,83,06,2872.45,859.22,2748.92,1.35
16,101,05,2113.67,781.73,1978.68,1.45
133,162,04,1778.92,559.07,1701.55,1.34
147,12,05,2635.82,699.93,2560.76,1.26
23,18,06,935.18,737.5,785.71,1.73
21,38,06,1160.3,700.37,1034.3,1.59
15,111,05,2381.57,911.39,2218.16,1.46
79,26,06,2559.32,1121.63,2352.4,1.51
197,177,06,2065.93,1142.3,1829.75,1.61
22,28,06,1047.86,611.19,938.72,1.57
198,133,05,1478.6,570.23,1394.96,1.39
132,172,04,2457.97,823.57,2327.97,1.4
20,48,06,2745.26,1415.33,2457.97,1.58
8,53,06,1483.99,595.57,1401.8,1.38
196,187,06,1010.01,656.97,889.04,1.63
197,143,05,3531.05,1285.85,3309.58,1.44
134,152,04,1513.64,553.79,1424.29,1.42
73,86,06,1008.66,578.73,903.28,1.63
9,43,06,4175.84,1426.55,3945.46,1.4
110,150,04,2644.42,759.22,2542.3,1.32
113,120,04,163.83,158.72,125.77,2.17
195,163,05,4035.39,1229.54,3859.82,1.35
138,112,04,2215.97,796.86,2077.55,1.44
111,140,04,2307.78,661.16,2219.56,1.32
77,46,06,2570.45,1067.06,2406.11,1.42
195,197,06,2516.31,980.96,2367.48,1.4
114,110,04,216.77,233.88,133.96,2.87
196,153,05,4434.09,1084.0,4307.06,1.27
187,158,04,3382.69,1015.49,3226.62,1.38
186,168,04,3012.13,981.12,2871.55,1.36
189,138,04,609.61,342.38,537.91,1.63
190,145,06,1876.64,787.42,1731.71,1.5
188,148,04,1834.04,524.16,1763.11,1.33
66,55,04,1161.84,515.97,1064.22,1.52
67,45,04,935.68,434.71,859.97,1.48
63,85,04,1385.14,552.86,1295.22,1.43
135,142,04,1121.75,552.64,1026.37,1.5
68,35,04,2383.78,610.47,2311.62,1.28
34,101,05,2297.91,752.48,2198.41,1.34
183,198,04,844.89,393.62,778.22,1.47
62,95,04,1934.58,565.65,1854.39,1.35
120,29,04,956.51,357.43,899.19,1.41
121,19,04,1609.36,499.04,1541.44,1.34
185,178,04,1375.84,573.79,1284.31,1.42
69,25,04,1823.75,559.51,1751.29,1.32
157,162,06,1610.5,697.65,1483.59,1.5
33,111,05,1940.27,582.41,1867.03,1.31
74,142,06,3015.79,1079.32,2813.19,1.48
