Name,ID,Vicinity,latitude,longitude,Rating,Url
Sarvajit Heights Apartment,ChIJGQtfLGBrrjsRFaNxVJ7Hluo,"VH3P+R2V, Kembathalli Main Rd, Gundappa Layout, Gottigere, Bengaluru",12.8546186,77.5850471,4.8,https://www.google.com/maps/place/?q=place_id:ChIJGQtfLGBrrjsRFaNxVJ7Hluo
Misty Meadows Apartment,ChIJw3T82J4UrjsRA3x_88Jqhak,"WJ3X+XGM, 24th Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru",12.9049732,77.6488084,4,https://www.google.com/maps/place/?q=place_id:ChIJw3T82J4UrjsRA3x_88Jqhak
Shrushti Apartments,ChIJjbLlDw8_rjsRA6-A2O6c1K4,"62, Uttarahalli Main Rd, Channasandra, Srinivaspura, Bengaluru",12.9044686,77.5081277,4.2,https://www.google.com/maps/place/?q=place_id:ChIJjbLlDw8_rjsRA6-A2O6c1K4
Saroj Meadows Apartment,ChIJxaIsbjgSrjsRhCAeaV8rhyA,"XP27+C47, 9th Cross Rd, Manjunatha Layout, Silver Springs Layout, Marathahalli, Bengaluru",12.9510494,77.7128088,4.6,https://www.google.com/maps/place/?q=place_id:ChIJxaIsbjgSrjsRhCAeaV8rhyA
Bangalore Apartments,ChIJ7dDiKr0VrjsROrDuwjtgyV0,"#3, 21st Cross Road Opposite Swimming Pool, Jayanagar 3rd Block East, Jayanagar, Bengaluru",12.9331129,77.5876634,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ7dDiKr0VrjsROrDuwjtgyV0
Royal Palace Apartment,ChIJa3XajdcUrjsRoiL4snhwZAg,"23/A 1st A Cross Rd Vijaya Bank Layout Bilekahalli, of, Bengaluru",12.888314,77.609504,4.5,https://www.google.com/maps/place/?q=place_id:ChIJa3XajdcUrjsRoiL4snhwZAg
Pioneer Green Woods Apartment,ChIJp4Mkr1FrrjsRM1QCL4UPiEQ,"VJCV+GV2, Manipal County Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru",12.8712692,77.6446456,3.6,https://www.google.com/maps/place/?q=place_id:ChIJp4Mkr1FrrjsRM1QCL4UPiEQ
Eshwar Krupa Apartment,ChIJLfSXlT4WrjsRYWZi9lHGHQY,"XHVH+7WV, 7th Cross Rd, Kumara Park West, Seshadripuram, Bengaluru",12.9932453,77.5797941,3.4,https://www.google.com/maps/place/?q=place_id:ChIJLfSXlT4WrjsRYWZi9lHGHQY
Orchid 2 Apartment,ChIJfz1Bq18VrjsRL-WKqMRiFMo,"yelachennahalli, 18, 8th Main Rd, Nanjappa Layout, Jayachamarajendra Industrial Estate, Kumaraswamy Layout, Bengaluru",12.8954346,77.5647092,4.7,https://www.google.com/maps/place/?q=place_id:ChIJfz1Bq18VrjsRL-WKqMRiFMo
Brigade Lakeview Apartment,ChIJdbkTQPAUrjsRypdxhiydaSQ,"Brigade Lakeview Apartments, 178, 42nd Main Rd, KAS Officers Colony, Stage 2, BTM Layout, Bengaluru",12.9135562,77.6204906,4.1,https://www.google.com/maps/place/?q=place_id:ChIJdbkTQPAUrjsRypdxhiydaSQ
SREEKHANDAM APARTMENT,ChIJ-fgD2KYUrjsRnAiXJG9EISw,"VMW2+77Q, Somasundarapalya Main Rd, Hosapalaya, HSR Layout, Bengaluru",12.895709,77.6507245,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ-fgD2KYUrjsRnAiXJG9EISw
Indraprastha Apartment,ChIJRyw3TqYTrjsRnRYgb7ebv4w,"# No 74/4 & 74/5 & 74/6, Indraprastha Apartment, 2nd Main Rd, opp. Chourasia Manor Phase 1, near Vidyavikas School, Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru",12.934224,77.7021609,5,https://www.google.com/maps/place/?q=place_id:ChIJRyw3TqYTrjsRnRYgb7ebv4w
Unnati Apartment,ChIJVc8NZFQXrjsRTRmF6BIz9R0,"Unnati Apartment 3,20 th R Cross Road, Maryanapallya, Kaveri Layout, Mariyannapalya, Hebbal Kempapura, Bengaluru",13.054295,77.6090278,3,https://www.google.com/maps/place/?q=place_id:ChIJVc8NZFQXrjsRTRmF6BIz9R0
Vinyas Regency Apartment,ChIJeUONFb9qrjsR4zo2-CNmt4c,"VH5M+576, 15th Cross Rd, Pavamananagar, Pavaman Nagar, Gottigere, Bengaluru",12.8579407,77.5831473,5,https://www.google.com/maps/place/?q=place_id:ChIJeUONFb9qrjsR4zo2-CNmt4c
Golden Arch Apartment,ChIJy3E4FBYVrjsR4kxdoRXHllc,"G-02, Rose Garden Rd 5th Phase, 15th Main, 17th I Cross, J P Nagar Phase 5,Nanjundeswara Layout, Bengaluru",12.9001213,77.5918729,4.8,https://www.google.com/maps/place/?q=place_id:ChIJy3E4FBYVrjsR4kxdoRXHllc
Pavani Shreshta Apartment,ChIJ_wGgijgSrjsROIEVj164i20,"XP27+PGF, pavani shrestha apartment, Bengaluru",12.9518078,77.7137976,3.9,https://www.google.com/maps/place/?q=place_id:ChIJ_wGgijgSrjsROIEVj164i20
Blue Bells Apartment,ChIJx9G3J6xsrjsREQMpvf8OaRs,"Earappa Reddy Layout, Manjunatha Nagar, Sai Sree Layout, Parappana Agrahara, Bengaluru",12.8745911,77.6614527,4.3,https://www.google.com/maps/place/?q=place_id:ChIJx9G3J6xsrjsREQMpvf8OaRs
Blossom Apartment,ChIJVdkyfiISrjsR3YaLcoGmRDg,"XP7C+WVR, Kundalahalli, Brookefield, Bengaluru",12.9648338,77.7221376,3,https://www.google.com/maps/place/?q=place_id:ChIJVdkyfiISrjsR3YaLcoGmRDg
Mukund Apartments,ChIJS9Dht_kVrjsRjZmtkSAYmWA,"4th Cross, 5th Main, Chamarajpet, Raghavendra Colony, Chamrajpet, Bengaluru",12.9558452,77.5655454,3.8,https://www.google.com/maps/place/?q=place_id:ChIJS9Dht_kVrjsRjZmtkSAYmWA
Pyramid North Square Apartment,ChIJb6AXy1AYrjsRO3uyks9jmEM,"3HWX+X82, Nehru Nagar, Bengaluru",13.097398,77.5982526,3.7,https://www.google.com/maps/place/?q=place_id:ChIJb6AXy1AYrjsRO3uyks9jmEM
Multi corner Apartment,ChIJhRqrO74XrjsRT6Y1Un80OGs,"'Multi' Apartment complex, 1-6, 5th Cross Rd, Basaveshwara Layout, Nagashetty Halli, R.M.V. 2nd Stage, Bengaluru",13.045444,77.5760783,0,https://www.google.com/maps/place/?q=place_id:ChIJhRqrO74XrjsRT6Y1Un80OGs
Tarang parkway apartment,ChIJkxZLpZI9rjsRGEnd60K0epI,"XGQX+7R8, 2nd Main Rd, Shivanagar, Basaveshwar Nagar, Bengaluru",12.9881619,77.5495851,4.7,https://www.google.com/maps/place/?q=place_id:ChIJkxZLpZI9rjsRGEnd60K0epI
Motherland Apartment,ChIJX7AdNCIXrjsR-fZHoLKGyCc,"2JCM+C8G, 3rd Main Rd, HRBR Layout 3rd Block, Keshava Nagar, Kacharakanahalli, Bengaluru",13.0210672,77.6334727,4,https://www.google.com/maps/place/?q=place_id:ChIJX7AdNCIXrjsR-fZHoLKGyCc
Pushpanjali Apartment,ChIJ-Z69k_sVrjsR7Ui4SHYoDEM,"11, 1st Main, 1st Cross Rd, Chamrajpet, Bengaluru",12.960103,77.5693083,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ-Z69k_sVrjsR7Ui4SHYoDEM
413 Apartment,ChIJr3xh_EsVrjsR8O-w5xd1fFE,"413, 2nd Cross, 15th Main Rd, Mallappa Reddy Layout, Koramangala 8th Block, Adugodi, Bengaluru",12.944191,77.618086,0,https://www.google.com/maps/place/?q=place_id:ChIJr3xh_EsVrjsR8O-w5xd1fFE
Manoharam Apartment,ChIJzU6oTkwSrjsRhssJPFg1vjI,"560103, Munnireddy Layout, Bengaluru",12.941792,77.7026988,4.8,https://www.google.com/maps/place/?q=place_id:ChIJzU6oTkwSrjsRhssJPFg1vjI
Oasis Apartment,ChIJOckXXO8WrjsRRR63lnSlQ1s,"5/4-1, Wheeler Rd Ext, 1st Block, Balaji Layout, Cooke Town, Bengaluru",13.002108,77.6238538,5,https://www.google.com/maps/place/?q=place_id:ChIJOckXXO8WrjsRRR63lnSlQ1s
Elegance Lalbagh View Apartment,ChIJ0QM2usAVrjsRgWG1bcFLKSU,"WHWQ+4VQ, Siddapura, Mavalli, Bengaluru",12.9453246,77.5897425,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0QM2usAVrjsRgWG1bcFLKSU
Gokul Nest Apartment,ChIJnehgRAEUrjsR7z1UcrkU2EA,"717/1, 5th Cross Rd, HAL 3rd Stage, Kodihalli, Bengaluru",12.9650935,77.6488554,0,https://www.google.com/maps/place/?q=place_id:ChIJnehgRAEUrjsR7z1UcrkU2EA
Sanjana sahara Apartment,ChIJfaz4ULgUrjsRXKN8VqGK1S8,"VJRM+V6W, 16 Main Rd, Garebhavipalya, Hongasandra, Bengaluru",12.8922254,77.6330635,4.7,https://www.google.com/maps/place/?q=place_id:ChIJfaz4ULgUrjsRXKN8VqGK1S8
Vasudha Springs Apartment,ChIJE7CcbNERrjsReEcQVNHFHII,"2P6Q+V3V, Sonnenahalli, Krishnarajapura, Bengaluru",13.0122535,77.7376871,3.6,https://www.google.com/maps/place/?q=place_id:ChIJE7CcbNERrjsReEcQVNHFHII
Punarva Apartment,ChIJNdjH58w9rjsRW5jjSAXQTXs,"73, 5th Cross Rd, Malagala, 2nd Stage, Vijayanagar, Bengaluru",12.9782363,77.5176477,0,https://www.google.com/maps/place/?q=place_id:ChIJNdjH58w9rjsRW5jjSAXQTXs
Elite Belathur Apartment,ChIJk9HsYCQOrjsRlSK-nnjJQqA,"Sharmashram road, 560067, Belathur, Krishnarajapura, Bengaluru",13.0043861,77.7535542,3.9,https://www.google.com/maps/place/?q=place_id:ChIJk9HsYCQOrjsRlSK-nnjJQqA
Mahaveer Fortune Apartment,ChIJb7pbTno8rjsRoIH62iKZxe8,"G Hosahalli Vishwaneedam Post, Kempegowdanagar, Byadarahalli, Bengaluru",12.9975085,77.4782084,4.1,https://www.google.com/maps/place/?q=place_id:ChIJb7pbTno8rjsRoIH62iKZxe8
Krishna Vihar Apartment,ChIJU149g4ARrjsRVek-_iS3If0,"16, 8th Main Rd, Dodda Nekkundi Extension, Doddanekkundi, Bengaluru",12.9731194,77.7029014,4,https://www.google.com/maps/place/?q=place_id:ChIJU149g4ARrjsRVek-_iS3If0
Adarsh Vihar Apartment,ChIJLY66i64VrjsRcvttlIhCZew,"5/1, Bannerghatta Main Rd, Bhavani Nagar, S.G. Palya, Bengaluru",12.9305143,77.6008305,3.8,https://www.google.com/maps/place/?q=place_id:ChIJLY66i64VrjsRcvttlIhCZew
Raiyaan Woods Apartment,ChIJFTGEmqgXrjsRArpvBgqCIbk,"29, 3rd Cross Rd, Hanumanthappa Layout, Sultanpalya, Kaval Bairasandra, Bengaluru",13.0235107,77.6038376,4.3,https://www.google.com/maps/place/?q=place_id:ChIJFTGEmqgXrjsRArpvBgqCIbk
Prakruthi Apartment,ChIJ0bwTx2UZrjsRaTvjsnd3CD0,"33, Prakruthi Apartment, BGS Layout, Jakkur, Bengaluru",13.0722558,77.6030083,5,https://www.google.com/maps/place/?q=place_id:ChIJ0bwTx2UZrjsRaTvjsnd3CD0
Goldenrays Apartment,ChIJcVCpVcUUrjsRx8VKUVpZjX4,"GOLDEN RAYS APARTMENT, 9 1 C Nyanapahalli Main Rd, Devarachikkanahalli Main Rd, near Sri Rama Mandir, Bommanahalli, Bengaluru",12.8893805,77.6199973,4.6,https://www.google.com/maps/place/?q=place_id:ChIJcVCpVcUUrjsRx8VKUVpZjX4
SVS Patel's Callisto Apartment ▪︎2 & 3 Bedroom Luxury Apartments,ChIJSXn0tEIZrjsRwqqPrtDt6vg,"3H9X+FJW 4th Cross Talacauvery Layout, Amrutahalli, Byatarayanapura Svs Patel Callisto Luxury Apartment, Bengaluru",13.0686875,77.5990625,4.9,https://www.google.com/maps/place/?q=place_id:ChIJSXn0tEIZrjsRwqqPrtDt6vg
Sethi Woods Apartments,ChIJF9F71-kXrjsRJjcwB8Qs-dk,"12, 3rd Main Rd, AECS Layout 1st Stage, Sanjayanagara, Bengaluru",13.0343843,77.5769547,5,https://www.google.com/maps/place/?q=place_id:ChIJF9F71-kXrjsRJjcwB8Qs-dk
Paramount Apartment,ChIJ-yrpSVgRrjsRzd4G0yF-rCc,"XMF8+777, 4th Main Rd, GM Palya, C V Raman Nagar, Bengaluru",12.973156,77.6656398,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ-yrpSVgRrjsRzd4G0yF-rCc
Golden Arch Apartment,ChIJNyAsRqUXrjsRnX_HJIsgZbw,"34, Chamundi Nagar Main Rd, Kauser Nagar, Dinnur, Hebbal, Bengaluru",13.0250479,77.5970701,4.2,https://www.google.com/maps/place/?q=place_id:ChIJNyAsRqUXrjsRnX_HJIsgZbw
Himapriya Apartment,ChIJv_V37XgXrjsR6_OOP5fha1I,"3J25+6JV, St Anthony Rd, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru",13.0506128,77.6090501,4.3,https://www.google.com/maps/place/?q=place_id:ChIJv_V37XgXrjsR6_OOP5fha1I
Jeeven Sai Meadows Apartment,ChIJk_plg0cSrjsRaVrC5OFfotU,"13th Cross Munnekollal, 163, Manjunatha Layout Main Rd, Munnekollal, Bengaluru",12.9491724,77.7137533,3.7,https://www.google.com/maps/place/?q=place_id:ChIJk_plg0cSrjsRaVrC5OFfotU
