Name,ID,Vicinity,latitude,longitude,Rating,Url,Grade
Latha Prasad Fuel Station,ChIJz_-PthY_rjsRAhynqYB0Oog,"#15, Mysore Rd, opp. BWSSB Cvotros, ITI Layout 3rd Phase, Dr.Ambedkar Nagar, Nayanda Halli, Bengaluru",12.9384348,77.5216242,3.5,https://www.google.com/maps/place/?q=place_id:ChIJz_-PthY_rjsRAhynqYB0Oog,8
Shree Bhuvaneshwari Parking / OTC ROAD - Park+,ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,"2 Dharmaraya Swamy Temple Street, Old Taluk Cutchery Rd, Bengaluru",12.9678953,77.5790645,0,https://www.google.com/maps/place/?q=place_id:ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,8
Unity Building Parking Lot,ChIJfQCQsN8VrjsRTmw40xo6hAY,"XH7P+VP7, Sampangi Rama Nagar, Bengaluru",12.964654,77.586791,4.3,https://www.google.com/maps/place/?q=place_id:ChIJfQCQsN8VrjsRTmw40xo6hAY,8
BHive Car Parking,ChIJowVg36UVrjsRE0BMXxFpt2M,"309/34/47, 27th Main Rd, ITI Layout, Sector 7, HSR Layout, Bengaluru",12.9007332,77.6502779,4,https://www.google.com/maps/place/?q=place_id:ChIJowVg36UVrjsRE0BMXxFpt2M,8
Pioneer Green Woods Apartment,ChIJp4Mkr1FrrjsRM1QCL4UPiEQ,"VJCV+GV2, Manipal County Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru",12.8712692,77.6446456,3.6,https://www.google.com/maps/place/?q=place_id:ChIJp4Mkr1FrrjsRM1QCL4UPiEQ,8
Patel Fuel Station,ChIJzcVYxggVrjsRR3YBC0yXP7g,"105, opposite to rbi Layout, Guru Raghavendra Nagar, JP Nagar 7th Phase, J. P. Nagar, Bengaluru",12.8917417,77.5774291,4.5,https://www.google.com/maps/place/?q=place_id:ChIJzcVYxggVrjsRR3YBC0yXP7g,8
Indian Oil Petrol Bunk-Sree Shakthi Filling Station,ChIJNV4ohfo_rjsRon9ghB47ans,"NH 209, Navaratan Gardens, Konanakunte, Bengaluru",12.8838648,77.5508339,3.7,https://www.google.com/maps/place/?q=place_id:ChIJNV4ohfo_rjsRon9ghB47ans,8
Goldenrays Apartment,ChIJcVCpVcUUrjsRx8VKUVpZjX4,"GOLDEN RAYS APARTMENT, 9 1 C Nyanapahalli Main Rd, Devarachikkanahalli Main Rd, near Sri Rama Mandir, Bommanahalli, Bengaluru",12.8893805,77.6199973,4.6,https://www.google.com/maps/place/?q=place_id:ChIJcVCpVcUUrjsRx8VKUVpZjX4,9
Indian Oil,ChIJb1hsjl4TrjsRrMoKvgpnQT0,"VMX5+J9C, Haralur Main Rd, Royal Placid Layout, PWD Quarters, 1st Sector, Haralur, Bengaluru",12.8990473,77.6584243,3.8,https://www.google.com/maps/place/?q=place_id:ChIJb1hsjl4TrjsRrMoKvgpnQT0,9
"s.v.m fuel station , petrol bunk",ChIJt6I3BLMTrjsRfLrebdMRqKY,"27, Marthahalli outer ring road, Kadubeesanahalli, Varthur Hobli, Prestige Tech Park, Bengaluru",12.9410958,77.6958901,4.2,https://www.google.com/maps/place/?q=place_id:ChIJt6I3BLMTrjsRfLrebdMRqKY,9
Royal Meenakshi Mall,ChIJCYgAwiwVrjsRWk69HWg1HG8,"Bannerghatta Main Rd, Hulimavu, Bengaluru",12.8757979,77.5960039,4.3,https://www.google.com/maps/place/?q=place_id:ChIJCYgAwiwVrjsRWk69HWg1HG8,9
Harikrishna Fuel Station (Bharat Petroleum),ChIJ4x47vyYTrjsRJccmpOnprKM,"327, Balagere Rd, Devasthanagalu, Balagere, Varthur",12.9395961,77.7271832,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ4x47vyYTrjsRJccmpOnprKM,9
IIITB Car Parking,ChIJlSeK6NJtrjsRveNm4V6kASw,"Boy's Hostel, IIIT, Basement, Bengaluru",12.8435696,77.6628059,0,https://www.google.com/maps/place/?q=place_id:ChIJlSeK6NJtrjsRveNm4V6kASw,9
Uddi gas pump,ChIJPUr4a0YRrjsRfutdWqkG8zc,"40/C, ITPL Main Rd, KEB Colony, Industrial Area, Hoodi, Bengaluru",12.9924896,77.7126209,0,https://www.google.com/maps/place/?q=place_id:ChIJPUr4a0YRrjsRfutdWqkG8zc,9
Indraprastha Apartment,ChIJRyw3TqYTrjsRnRYgb7ebv4w,"# No 74/4 & 74/5 & 74/6, Indraprastha Apartment, 2nd Main Rd, opp. Chourasia Manor Phase 1, near Vidyavikas School, Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru",12.934224,77.7021609,5,https://www.google.com/maps/place/?q=place_id:ChIJRyw3TqYTrjsRnRYgb7ebv4w,9
